ID,Component,Mfr / Part #,Subsystem,Qty,Unit,Status,QD v1 Use,Key Specs / Notes,Supplier,Source / Order,Photo,Allocation / Reuse
61,USB-serial adapter (FTDI FT232RL),FT232RL breakout (HW-417),Compute / Tools,1,pcs,In hand (photo),QD bench tool - Pi serial console,"FT232RL USB-to-UART bridge (NOT an MCU). 6-pin FTDI header DTR/RXD/TXD/VCC/CTS/GND; SELECTABLE 3.3V/5V jumper; mini-USB. QD ROLE (real, not library): serial CONSOLE into Pi for headless bring-up/debug (Pi UART GPIO14 TX / GPIO15 RX) = boot msgs, kernel logs, login prompt, ZERO network dependency. Best low-level debug for a headless robot. ** CRITICAL: jumper to 3.3V (Pi UART is 3.3V, NOT 5V-tolerant; 5V damages GPIO). ** Aside: some FT232RL boards = clone chips; fine on Linux/Pi, may no-show on Windows. CONDITION: fine.",Toy box (old stock),FT232RL + HW-417 silk,Thread doc shot,QD bench tool
62,TP4056 1S Li charger (protected),TP4056+DW01A+8205A (03962A),Power / Switching,10,pcs,In hand (photo),Library (power shelf) - NOT QD power,"1S (single-cell 3.7/4.2V) Li-ion/LiPo charger, PROTECTED (DW01A over-dis/over-cur + 8205A dual MOSFET). Micro-USB in; B+/B- cell, OUT+/OUT- protected load; ~1A default (Rprog-set); 4.2V CC/CV; red/blue LEDs. QD: NOT main power - pack is 3S (11.1V), needs iMAX B6 BALANCE charger (1S charger CAN'T do 3S; wrong class). Nearest hook=1S backup cell for F14 hold-up, BUT TP4056=charger not power-path/UPS, AND read-only rootfs is simpler F14 fix -> hook doesn't land. Joins power-shelf library (solar panels, relay bd). CONDITION: fine (no electrolytics).",Toy box (old stock),03962A silk,Thread doc shot,Free - library
63,Arduino MKR WiFi 1010 + Nano 33 IoT,Genuine Arduino (SAMD21 + u-blox NINA-W102),Compute / Tools,2,pcs (1 each),In hand (photo),Bench/library - capable 3.3V spares,"SAMD21 Cortex-M0+ 32-bit @48MHz, 3.3V native; WiFi+BT (NINA-W102=ESP32 inside); crypto chip. MKR=LiPo JST+charger; Nano 33 IoT=onboard LSM6DS3 6-axis IMU. NOTE: run CircuitPython (same toolchain as KB2040) - NOT the AVR/C++ env that fought the build; do NOT lump w/ Unos. QD: NOT compute (Pi=vision brain, KB2040=reflex & faster dual-core 133MHz; WiFi dups Pi). Mild angle: self-contained 3.3V wireless nodes (opt ESP-NOW remote/sensor node); Nano33 IMU neat but BNO085 better+committed. VALUE: genuine Italian (~$30-40 ea) = good spares, keep separate from clones. CONDITION: fine.",Toy box (old stock),Board silk (back),Thread doc shot,Bench/library (capable)
64,GPS receiver (GT-U7) + patch antenna,GoouuTech GT-U7 + SIM39EA ant,Sensing,1,set,In hand (photo),Library (NOT QD) - GPS poor fit,"NEO-6M-class GNSS rx; NMEA over UART (~9600 default); micro-USB for PC test; 5-pin hdr (VCC/RX/TX/GND/PPS); SIM39EA ceramic patch antenna via u.FL. QD: POOR FIT - (1) needs sky view, won't fix indoors where rover lives; (2) SCALE: GPS ~meters vs QD=180mm robot in a ~few-m room -> can't localize within a room even outdoors. QD localization = camera+ToF+IMU+encoders. Precise-time redundant w/ DS3231 RTC (& needs a fix). Caveat: outdoor QD variant would change this. GOOD FOR: outdoor tracker/datalogger/GPS clock. CONDITION: fine; u.FL delicate.",Toy box (old stock),GT-U7 silk / ASIN X002GN4LMD,Thread doc shot,Free - library
65,Adafruit Circuit Playground Express,Adafruit CPX (ATSAMD21),Compute / Tools,2,pcs,In hand (photo),QD bench tool - LED-band/behavior dev,"SAMD21 @48MHz, 3.3V, CircuitPython; Adafruit ecosystem (same as KB2040/sensors). Onboard: 10x NeoPixel (WS2812!), LIS3DH accel, light/temp/sound sensors, IR tx/rx, 2 btn, slide sw, speaker, touch. 'Developer Edition'=dev variant, same fn. QD: NOT compute/component (Pi+KB2040 settled; fixed round bd doesn't fit pill/arch). REAL ROLE: prototype the LED DEBUG-BAND at desk - 10 onboard NeoPixels = same WS2812 + same `neopixel` lib as QD band; develop/tune idle/attention/engaged/fault/reflex states+animations, then port. Also rough behavior sketchpad (onboard accel/mic/light to rehearse significance->affect loop). 3rd bench-kit tool (w/ Pico reflex-dev, FTDI Pi-console). CONDITION: fine.",Toy box (old stock),CPX silk (back),Thread doc shot,QD bench tool
66,Env sensor BME280/BMP280,"GY-BME/BMP280 (GYBMEP, I2C)",Sensing,1,pcs,In hand (photo),Library (NOT QD) - redundant,"I2C temp/pressure(/humidity). QD: REDUNDANT - committed BME688 is a STRICT SUPERSET (temp/press/humidity + gas/VOC). Adds nothing over a better part already owned (cf DHT11/22). CAVEAT: purple GYBMEP boards often actually BMP280 (NO humidity) despite 'BME' silk - verify by chip ID (0x60=BME280, 0x58=BMP280). CONDITION: fine.",Toy box (old stock),GYBMEP silk,Thread doc shot,Free - library
67,0.96in OLED display (SSD1306),SSD1306 0.96in I2C (0x78/0x7A),Output / Light,1,pcs,In hand (photo),Library (NOT QD) - off-thesis screen,"I2C 128x64 OLED, addr 0x78/0x7A selectable. QD: OFF-THESIS onboard (same call as Heltec screen) - text screen reads as 'gadget/interface'; QD signals state via LED band as ambient affect, not a readout. Do NOT put on chassis. Off-board = fine display for bench readout/dashboard, but Heltec already covers that. CONDITION: fine (handle gold ribbon/flex gently).",Toy box (old stock),0.96 OLED silk,Thread doc shot,Bench/library
68,16x2 character LCD (HD44780),QAPASS 1602A (bare parallel),Output / Light,1,pcs,In hand (photo),Library (NOT QD) - off-thesis screen,"16x2 char LCD, HD44780-compatible, blue backlight, BARE 16-pin PARALLEL (no I2C backpack). QD: OFF-THESIS onboard (same call as OLED/Heltec - char readout = max 'gadget'; QD speaks via LED band). LESS useful than OLED even on bench: wants 6+ GPIO (or add PCF8574 backpack), 5V, needs contrast trimpot on V0. I2C OLED is better bench display. CONNECTION: the blue trimmers logged earlier = the V0 contrast pot for this. CONDITION: fine.",Toy box (old stock),QAPASS 1602A silk,Thread doc shot,Free - library
69,Data logging shield (SD + DS1307 RTC),Deek-Robot Data Logging Shield V1.0 (HW-169),Compute / Tools,1,pcs,In hand (photo),Library (NOT QD) - redundant + wrong FF,"Arduino UNO SHIELD: full-size SD slot (SPI, 74HC125 level-shift) + DS1307 RTC (I2C 0x68, CR1220 backup) + proto area. QD: NOT QD - (1) UNO shield FF; QD=Pi+KB2040, nothing to stack on; (2) RTC redundant+INFERIOR: committed DS3231 is TCXO +/-2ppm vs DS1307 bare-xtal (drifts min/month), same addr 0x68 collide (F12); (3) SD redundant: Pi has own boot/storage SD. ** F14 TRAP: this SD slot does NOT fix F14 (Pi's-own-SD corruption) - different card/bus, unrelated; fix is read-only rootfs / graceful shutdown. ** GOOD FOR: Arduino datalogger. CONDITION: fine (needs CR1220 if RTC used).",Toy box (old stock),Deek-Robot silk (back),Thread doc shot,Free - library
70,Seeeduino XIAO (SAMD21),Seeed Studio XIAO SAMD21,Compute / Tools,3,pcs,In hand (photo),Bench/library - capable 3.3V spare,"SAMD21 Cortex-M0+ @48MHz, 3.3V, USB-C, CircuitPython; TINY (~20x17.5mm) castellated; genuine Seeed. Capable-spares class (w/ MKR/Nano 33); NOT AVR bucket. QD: NOT compute (Pi+KB2040 settled; KB2040=RP2040 dual-core 133MHz, faster + STEMMA QT). NOT a reflex-dev twin like Pico - DIFFERENT chip (SAMD21 vs KB2040's RP2040), code not drop-in -> spare, not bench tool. Tiny size doesn't unlock QD role (no 3rd-MCU slot; can't displace faster KB2040). Deepens overstocked MCU shelf. CONDITION: fine.",Toy box (old stock),Seeeduino XIAO silk (back),Thread doc shot,Bench/library (capable)
71,Tiny RTC I2C module (DS1307 + EEPROM),DS1307 + AT24C32 (Tiny RTC),Sensing,5,pcs,In hand (photo),Library (NOT QD) - redundant/inferior RTC,"DS1307 RTC + 32.768kHz xtal + AT24C32 4KB I2C EEPROM (0x50) + LIR2032 coin holder. QD: NOT QD - same as logging-shield RTC: DS1307 redundant+INFERIOR to committed DS3231 (TCXO +/-2ppm vs bare-xtal drift min/month), same addr 0x68 collide (F12). EEPROM=minor library bonus. GOTCHA: board has LIR2032 *rechargeable* charge circuit - do NOT fit a plain CR2032 (will try to charge non-rechargeable cell); use LIR2032 or disable charge R. 3rd inferior-RTC sighting (logging shield, GPS-time, now 5x); timekeeping settled on DS3231. CONDITION: fine (holders empty).",Toy box (old stock),Tiny RTC silk,Thread doc shot,Free - library
72,nRF24L01+ 2.4GHz transceiver,Nordic nRF24L01+ module,Compute / Tools,2,pcs,In hand (photo),Library (NOT QD) - radio redundant w/ Pi WiFi,"2.4GHz GFSK transceiver, SPI (CE/CSN/SCK/MOSI/MISO/IRQ), 3.3V VCC (NOT 5V; logic inputs 5V-tol), ~1-2Mbps, PCB antenna. QD: NOT QD - wireless link redundant w/ Pi built-in WiFi/BT (cf ESP radios). For optional bring-up remote, ESP-NOW on earmarked ESP32s is easier (built-in vs host-MCU+stack at BOTH ends). GOTCHA: classic TX brownout - add 10uF cap across VCC/GND (left module looks already reworked w/ cap). GOOD FOR: low-power custom RF link / wireless sensor node / RC. CONDITION: fine (left hand-soldered, cosmetic).",Toy box (old stock),nRF24L01 silk + 16MHz xtal,Thread doc shot,Free - library
73,ESP32-CAM + OV2640 camera,AI-Thinker ESP32-CAM (ESP32-S + OV2640),Sensing,2,sets,In hand (photo),Library (NOT QD) - inferior cam + redundant compute,"AI-Thinker ESP32-CAM: ESP32-S (WiFi+BT) + OV2640 2MP cam + microSD + LED flash + 4MB PSRAM; NO onboard USB (flash via ext USB-serial -> the FTDI). 2 boards + 2 OV2640. QD: NOT QD - (1) NOT compute: Pi=vision brain; ESP32 can't run attention/significance vision; (2) NOT camera: QD uses GLOBAL-SHUTTER (#5702) deliberately - moving robot needs it (no rolling-shutter motion jello on the very motion she attends to); OV2640=rolling-shutter, lower-res, parallel DVP (incompatible w/ Pi CSI); (3) NOT a vision-dev twin (too weak, wrong sensor/toolchain - unlike CPX/NeoPixel). USE: self-contained cheap WiFi cam (webcam/wildlife). Mild QD-adjacent: EXTERNAL observation cam watching QD during bring-up (3rd-person debug), not part of robot. CONDITION: fine.",Toy box (old stock),ESP32-CAM silk + OV2640 flex,Thread doc shot,Free - library
74,microSD card module (SPI),HW-125 (74VHC125 buffer + 3.3V reg),Storage,5,modules,In hand (photo),Library (NOT QD) - Pi has native SD; does NOT fix F14,"SPI microSD breakout: GND/VCC/MISO/MOSI/SCK/CS; onboard 3.3V reg + 74VHC125 buffer (5V-Arduino friendly). 5 units, look new. QD: NOT QD - (1) Pi boots/logs via its OWN native SD slot (row 44), far faster than SPI + already in design; SPI SD is for compute WITHOUT an SD slot. (2) KB2040 reflex co-pro doesn't journal to disk - logging lives on Pi. (3) TRAP: does NOT fix F14 (SD-corruption-on-abrupt-poweroff) - that's a filesystem fix (read-only rootfs / graceful shutdown), not a hw-shortage; a 2nd card = a 2nd thing to corrupt. Same trap as the data-logging shield. USE: classic standalone-MCU datalogger (pair w/ DS3231 + sensor + AVR/ESP, no PC). CONDITION: fine/new.",Toy box (old stock),HW-125 silk + 'MicroSD Card Adapter' back,Thread doc shot,Free - library
75,Micro servo 9g (SG90-class),"Smraza S51 (analog, plastic gear, ~180deg positional)",Actuation,10,servos,In hand (photo),QD v1.5 CANDIDATE - camera ridge articulation (pan/tilt),"SG90-class 9g analog micro servo, positional ~180deg, plastic gears, horns+screws incl. 10 units. QD: REAL HIT (not library). v1.5 articulation is locked = pan +-90-120 / tilt sky-biased, ridge moves as unit, SERVOS IN BODY via linkage/pushrod -> 2 servos. Use 2 + 8 spare/proto. CAVEATS for FLIGHT build (truth over comfort): (1) cheap analog 9g jitter/hunt/buzz - works against QD's deliberate legible-motion premise; consider DIGITAL METAL-GEAR micro servo for flight (smooth/quiet/repeatable). (2) plastic gears back-drive/strip on shock-load (bump) -> MG90S-class more robust. (3) servo current spikes (stall ~0.5-0.7A ea) + noise -> own buck/rail w/ decoupling, NOT sensor rail (ties F13). (4) pan +-120 (240deg) exceeds ~180deg throw -> gear via linkage ratio or settle +-90. These = ideal PROTOTYPING servos; flight servo TBD (see F18). Verify positional (not continuous) - horns/label indicate positional. CONDITION: new.",Toy box (old stock),Smraza S51 'Micro Servo 9g' label,Thread doc shot,QD v1.5 - articulation (2 + spares)
76,18650 battery holder (1S),"Single-cell 18650, 3.7V, flying leads",Power,10,holders,In hand (photo),Library (NOT QD) - power locked on 3S LiPo,"Single-18650 holder, 3.7V (1S), spring contact + red/black leads. 10 units, new. QD: NOT QD - power is LOCKED on 3S LiPo (Zeee 2200mAh) + iMAX charger; these are 1S holders (wrong series config) and re-opening battery chemistry now = regression. USE: general power-shelf stock (battery banks, any 3.7V project; 3x in series would make ~11.1V but QD already has its pack). Joins the self-sorting power library (w/ solar gear). CONDITION: new.",Toy box (old stock),'3.7V 18650X1' molding + bag of ~10,Thread doc shot,Free - library (power shelf)
77,Magnetic reed switch set (housed),"Door/window-alarm type, ASIN B07YVG637M",Sensing,5,sets,In hand (photo),Library (NOT QD) - Q4 resolved; bulky door-alarm type,"HOUSED reed switch + magnet block sets (screw-terminal door/window alarm style) - NOT the bare glass reeds logged earlier. 5 sets, new. QD: NOT QD - ties Q4 (RESOLVED): DRV5032 Hall = on-chassis magnetic sensor of record (solid-state, vibration-immune); reeds = library/spare for possible v1.5 zero-power dock-detect. These housed sets are EVEN LESS QD-suited than bare reeds: bulky, built to screw on a doorframe, won't embed in 72mm pill. If dock-detect ever built, bare glass reeds are the better candidate. USE: door/window sensing (as sold). CONDITION: new.",Toy box (old stock),'5Sets Magnetic Reed Switch' label B07YVG637M,Thread doc shot,Free - library
78,Heat-set threaded inserts (M2/M3/M4/M5),ruthex 270pc (brass) ASIN X003E0A4VK7,Chassis / Fasteners,1,kit (270pc),In hand (photo),Core,"ruthex brass heat-set inserts: M2 70 / M3 100 / M4 50 / M5 50. THE method for threads in printed parts (melt insert into PETG/ASA -> metal threads for screws). M3x100 = workhorse for QD modular shells. NOTE (F7): kit has M2/M3/M4/M5 but NOT M2.5 - Pi is M2.5, so this does NOT close the two-fastener-systems flag; Pi still uses Geekworm M2.5 kit (row 22). Matches 'ruthex inserts' from procurement - now logged. CONDITION: new.",3DPrintersBay / Amazon,ruthex 270pc label,Thread doc shot,Committed: QD v1
79,M3 socket-head screw kit (304 SS),VGBUY 600pc,Chassis / Fasteners,1,kit (600pc),In hand (photo),Core,"M3 socket-head cap screws, 304 stainless: M3x6/8/12/20/25/30 + 150 M3 nuts + 300 lock/flat washers. M3 = QD chassis standard. SHORT lengths (6-12mm) join shell modules into heat-set inserts = the QD-relevant part. 20-30mm + nuts = overflow (heat-set insert IS the nut, nuts rarely needed). Matches 'M3 screws' from procurement - now logged. CONDITION: new.",Amazon (VGBUY),VGBUY 600pc label,Thread doc shot,Committed: QD v1
80,M4 brass hardware (inserts or standoffs?),"A010-180, 'Brass M4 180pcs' ASIN X0022W2SAF",Chassis / Fasteners,180,pcs,In hand (photo),Library (NOT QD) - M4 off the M3 standard,TENTATIVE ID: closed box labeled 'Brass M4 180pcs' - could be M4 brass heat-set INSERTS (short knurled barrels) or M4 STANDOFFS (longer hex pillars). Opening settles it. Either way LIBRARY: M4 is off QD's M3 chassis standard (+ M2.5 Pi); nothing in QD design calls for M4. General fastener stock. CONDITION: new.,Amazon,A010-180 label,Needs clean shot (open box to ID),Free - library
81,"BJT transistor assortment, 675pc",Hilitchi 675pc (15 values x45) ASIN X001DQ71SZ,Discrete semis,1,kit (675pc),In hand (photo),Library - general small-signal stock,"Through-hole BJT assortment: ~15 values incl 2N2222/2N3904/2N3906/C1815/A1015/S8050/S8550/S9012-S9015 etc, 45 ea. QD: not a SPECIFIED part - switching lives in integrated parts (TB6612 motors, BSS138 level-shift). But ideal general bench stock for occasional small-signal switching. Library. CONDITION: new.",Amazon (Hilitchi),Hilitchi 675pc transistor label,Thread doc shot,Free - library
82,"Power MOSFET kit, 50pc (10 values)","BOJACK (IRF/IRFP series, TO-220) ASIN X001...",Discrete semis,1,kit (50pc),In hand (photo),Library - power switching; mostly non-logic-level,"10 values x5: IRF540N/640N/740/840/3205/9540N/Z44N/IRFP260/460 class TO-220 POWER MOSFETs. QD: not needed - motors handled by TB6612; most of these are NON-logic-level (want ~10V gate, won't switch cleanly from 3.3/5V w/o gate driver). General power-switching / DIY H-bridge stock. Library. CONDITION: new.",Amazon (BOJACK),BOJACK 50pc MOSFET label,Thread doc shot,Free - library
83,Resistor kit (through-hole assortment),Elegoo,Passives,1,kit,In hand (photo),Library - USEFUL QD bench stock,"TH resistor assortment (multi-value). Library but genuinely used during QD bring-up: I2C pull-ups, LED current-limit (band proto), reflex-input pull-downs. CONDITION: fine.",Amazon (Elegoo),Elegoo Resistor Kit box,Thread doc shot,Free - library (bench)
84,"Ceramic capacitor kit, 600pc (15 val)",BOJACK 10pF-100nF,Passives,1,kit (600pc),In hand (photo),Library - USEFUL QD bench (decoupling),"TH ceramic disc caps 10pF-100nF, 15 values x40. Library but = QD's DECOUPLING/BYPASS stock (the '100nF across supply pins' for servos/nRF brownout/sensor rails). CAVEAT: tops out 100nF - BULK decoupling (10uF+ near buck/servos) needs electrolytic/tantalum sourced separately. CONDITION: fine.",Amazon (BOJACK),BOJACK Ceramic Capacitor Kit box,Thread doc shot,Free - library (bench)
85,DIP IC assortment (analog/audio jellybean),"LM358/324/339/393,NE555,ULN2003/2803,LM386,TDA,UC384x,PT2399,JRC4558 +DIP sockets",Discrete/IC,1,kit,In hand (photo),Library (NOT QD) - different domain,"TH DIP assortment: op-amps (LM358/324/339/393,NE5532,JRC4558), 555 timer, Darlington arrays (ULN2003/2803), audio amps (LM386,TDA2030/2822), SMPS PWM (UC3842/3843), opto (PC817), ICL7660, PT2399 echo; + DIP sockets 4-18P. QD: NOT QD - analog/audio domain; QD analog sensing = ADS1115 I2C ADC, motors = TB6612; no discrete op-amps/timers/Darlingtons in design. Good library to own. CONDITION: fine.",Amazon,IC assortment chart box,Thread doc shot,Free - library
86,"Potentiometer kit, 60pc (B5K-B100K)","SWPEET, panel pots w/ knobs/nuts/washers ASIN X002CTQP4N",Passives / Controls,60,pcs,In hand (photo),Library (NOT QD) - off-thesis (no knobs),"Linear panel pots B5K/10K/20K/50K/100K + knobs/nuts/washers. QD: NOT QD - QD is autonomous, has NO human knobs (expresses via LED band) - same reason as trimmer pots (row 59). Mild bench use: hand-tunable analog test input into an ADC. Distinct from row 59 (those=tiny trimmers; these=full panel pots). CONDITION: new.",Amazon (SWPEET),SWPEET 60pc Potentiometer box,Thread doc shot,Free - library
87,5mm LED assortment (assorted colors),DiCUNO,Indicators,1,kit,In hand (photo),Library - bench indicators (NOT the band),"5mm TH LEDs, assorted colors. QD: does NOT displace QD's debug band = WS2812 addressable RGB (data-driven). These=dumb single-color TH LEDs for breadboard status blinks during bring-up. Distinct from row 56 (white-only emitters). Library/bench. CONDITION: fine.",Amazon (DiCUNO),DiCUNO 5mm LED box,Thread doc shot,Free - library (bench)
88,Electrolytic capacitor assortment (2 kits),RexQualis 696pc (0.1-2200uF) + CTR 500pc (0.1-1000uF),Passives,2,kits,In hand (photo),Library - USEFUL QD bench (BULK decoupling),"Radial electrolytic assortments: RexQualis 24-val 696pc 0.1-2200uF + CTR 24-val 500pc 0.1-1000uF (10-50V). Library but = the BULK decoupling flagged last turn (ceramic kit topped at 100nF). These = the 10-1000uF cans across buck output / servo rail / motor-driver supply to absorb current spikes (ties F13, F18). Two kits overlap = deep redundant supply. CAVEAT: electrolytics AGE (dry out / lose C / leak) unlike ceramics - look fresh now; if any sit for years, verify/reform before trusting on a rail that matters. CONDITION: appears new.",Amazon (RexQualis / CTR),RexQualis 696 + CTR 500 charts,Thread doc shot,Free - library (bench)
89,"Inductor kit, 200pc (20 value, 1W axial)",BOJACK,Passives,1,kit (200pc),In hand (photo),Library (NOT QD) - buck modules self-contained,"TH axial color-band inductors, 20 values, 1W (1uH-1mH range). QD: NOT QD - discrete inductors = for DIY SMPS / LC filters; QD power = ready-made buck modules (Pololu D24V22F5) with inductors onboard. Not building switching supplies from scratch. General library stock. CONDITION: fine.",Amazon (BOJACK),BOJACK 200pc Inductor Kit box,Thread doc shot,Free - library
90,Digital multimeter (basic),GE2524 w/ probes,Bench tool,1,meter,In hand (photo),QD BENCH TOOL - essential bring-up,"Basic pocket DMM: V/A/ohm/diode/continuity (no cap/freq). First meter in inventory. Essential QD bring-up: buck output V before connecting Pi, pack V, 3.3/5V rails, joint continuity, polarity checks. Adequate for QD's checks. CONDITION: working.",Existing / bench,GE2524 body,Thread doc shot,QD bench tool
91,Solderless breadboards (assorted),Full 830pt / half 400pt / mini / power-rail strips,Bench tool,8,approx,In hand (photo),Bench library - SIGNAL/LOGIC only (not power),"~8 assorted solderless breadboards (830pt full, 400pt half, mini, power-rail strips). Proto-phase stock - distinct from row 38 Perma-Proto (those=SOLDERED). Workflow: breadboard I2C sensor bus / KB2040 / LED-band logic here, then commit working circuit to soldered Perma-Proto. CAVEAT: signal/logic ONLY - keep MOTOR/SERVO POWER off breadboards (spring-contact resistance can't carry motor amps; power path = soldered/direct from the start). Qty approx. CONDITION: fine.",Existing / bench,8+ boards in photo,Thread doc shot (approx count),Free - library (bench)
92,"DC bench power supply (adjustable, CV/CC)",Tacklife MDC02,Bench tool,1,PSU,In hand (photo),QD BENCH TOOL - safe bring-up (CC limit),"Adjustable single-output DC supply, CV/CC, V+A readout, fine/coarse, banana out. HIGH VALUE for QD: (1) CC current-limit = SAFE first power-on (clamps current on a fault instead of frying Pi/sensors). (2) Develop entire stack OFF the LiPo - dial 11.1V to stand in for 3S pack, or 5V/3.3V sub-rails - keeps pack fire/over-discharge out of the dev loop (de-risks F3/F14/brownout). CAVEAT: verify max current on label (~5A class); 2x motor STALL ~5-6A could hit the limit -> CC dips rail. Fine for logic/sensor/normal-run. CONDITION: working.",Existing / bench,Tacklife MDC02 front,Thread doc shot,QD bench tool
93,"Oscilloscope, 2ch 100MHz 1GSa/s (DSO)","Hantek DSO5102P (+probe, test leads)",Bench tool,1,scope,In hand (photo),QD BENCH TOOL - signal-integrity debug,2-ch 100MHz 1GSa/s digital storage scope. THE signal-integrity instrument - maps onto QD flags: I2C SDA/SCL rise-times + clock-stretch (F10) + addressing (F12); WS2812 LED-band 800kHz timing (F9); encoder quadrature levels + level-shift (F1); motor/servo PWM freq/duty (F18); supply rail noise + decoupling verification (F13). 100MHz/2ch well-matched to all QD signals; 2ch covers most debug (4ch rarely needed). Incl scope probe + red/blk test leads. CONDITION: working.,Existing / bench,Hantek DSO5102P front,Thread doc shot,QD bench tool
